INCHI,SMILES,IC50,pIC50
CAWAMBOTFXXXBZ-JXMROGBWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,732,6.135488919
CTCXKWWYXMCWMT-UHFFFAOYSA-N,CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,39510,4.40329297
NKUFCHJXONJOLU-UHFFFAOYSA-N,COc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,26,7.585026652
BVWQZMQCRDRIMH-IPPBACCNSA-N,CN1CCN(/N=C/c2c(N)ncnc2Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)CC1,8,8.096910013
ALLOGFWHFYNGAI-UHFFFAOYSA-N,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,29,7.537602002
QAEQSYBSVNAKON-UHFFFAOYSA-N,Cc1ccc(C2=NN(C(N)=S)C(c3ccc4ccccc4c3)C2)cc1,1040,5.982966661
ILHWBBJDMDWNNH-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(Br)cc3)CC2c2ccccc2)=N1,4870,5.312471039
CNRMVFRKCDVXKW-JXMROGBWSA-N,COCCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,4,8.397940009
VZUOXKTTZJFLLO-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccc(Br)cc2)=N1,3050,5.515700161
DURYAAKIQVDWGP-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,6840,5.164943898
RCUSFXIASRCUQJ-IPPBACCNSA-N,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCCCC1,18,7.744727495
SADXACCFNXBCFY-IYNHSRRRSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C,9.07,8.042392713
AXCWTPZBNBDGJR-UHFFFAOYSA-N,COc1ccc(C2=NN(C(N)=S)C(c3cccc4ccccc34)C2)cc1,4180,5.378823718
